"","TaxonID","class","scientificName","documentType","urls"
"41",5614,"Gastropoda","Leptoxis plicata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2354.pdf"
"42",5614,"Gastropoda","Leptoxis plicata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1012.pdf"
"43",7019,"Gastropoda","Leptoxis foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Interrupted Rocksnail Recovery Plan Amendment_1.pdf"
"44",7019,"Gastropoda","Leptoxis foremani","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/2014 10 31  Three Mollusks final recovery plan.pdf"
"45",7019,"Gastropoda","Leptoxis foremani","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2950.pdf"
"46",7019,"Gastropoda","Leptoxis foremani","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/75/67512?link-type=pdf"
"47",470,"Gastropoda","Leptoxis ampla","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
"48",470,"Gastropoda","Leptoxis ampla","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"49",470,"Gastropoda","Leptoxis ampla","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2356.pdf"
"50",470,"Gastropoda","Leptoxis ampla","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1013.pdf"
"51",5052,"Gastropoda","Elimia crenatella","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/051202.pdf"
"52",5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"53",5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2357.pdf"
"54",5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1009.pdf"
"55",6216,"Gastropoda","Planorbella magnifica","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/219854"
"56",6216,"Gastropoda","Planorbella magnifica","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/20230906_Recovery Outline Magnificent Ramshorn (508c).pdf"
"57",6216,"Gastropoda","Planorbella magnifica","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/56471"
"58",8641,"Gastropoda","Hemphillia burringtoni","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/204773"
"59",6905,"Gastropoda","Polygyriscus virginianus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/830509_1.pdf"
"60",6905,"Gastropoda","Polygyriscus virginianus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3243.pdf"
