,t1_f1,t2_f1,t3_f1,t4_f1,t5_f1,t6_f1,t7_f1,t8_f1,t9_f1,t10_f1,t11_f1,t12_f1,t13_f1
0,0.25,0.6,0.7272727272727273,0.0,0.6666666666666666,0.0,0.18181818181818182,0.8235294117647058,0.8235294117647058,0.0,0.7058823529411765,0.8,0.0
1,0.6153846153846154,0.4444444444444444,0.75,0.3333333333333333,0.5,0.0,0.6153846153846154,0.9333333333333333,0.7777777777777778,0.0,0.7142857142857143,0.8235294117647058,0.0
2,0.7692307692307693,0.5,0.8,0.2222222222222222,0.75,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.75,0.0,0.875,0.5,0.0
3,0.6,0.6153846153846154,0.6,0.4444444444444444,0.8571428571428571,0.3333333333333333,0.7142857142857143,0.9333333333333333,0.875,0.0,0.8235294117647058,0.7692307692307693,0.5
4,0.6666666666666666,0.6,0.5,0.0,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.75,0.7777777777777778,0.0,0.8421052631578947,0.6666666666666666,0.0
5,0.6666666666666666,0.5,0.75,0.0,0.5,0.75,0.6153846153846154,0.7142857142857143,0.8571428571428571,0.0,0.75,0.7272727272727273,0.0
6,0.7142857142857143,0.6,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.5,0.8421052631578947,0.6666666666666666,0.0,0.75,0.7692307692307693,0.0
7,0.5,0.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,0.25,0.8333333333333334,0.8,0.6666666666666666,0.0,0.75,0.8,0.0
8,0.7692307692307693,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.75,0.25,0.8333333333333334,0.8235294117647058,0.75,0.0,0.875,0.6666666666666666,1.0
9,0.6153846153846154,0.36363636363636365,0.8571428571428571,0.0,0.6666666666666666,0.5,0.6153846153846154,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
10,0.36363636363636365,0.6,0.7272727272727273,0.5,0.8,0.4,0.7272727272727273,0.6666666666666666,0.8888888888888888,0.0,0.5714285714285714,0.625,0.0
11,0.5,0.6,0.8888888888888888,0.0,0.3333333333333333,0.6666666666666666,0.25,0.5714285714285714,0.7692307692307693,0.0,0.8888888888888888,0.6666666666666666,0.0
12,0.7692307692307693,0.5714285714285714,0.4444444444444444,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.875,0.8888888888888888,0.0,0.8235294117647058,0.9333333333333333,0.3333333333333333
13,0.6666666666666666,0.8888888888888888,0.8,0.2857142857142857,0.4,0.4,0.5454545454545454,0.7142857142857143,0.7058823529411765,0.0,0.8888888888888888,0.6666666666666666,0.0
14,0.7142857142857143,0.6,1.0,0.5714285714285714,0.4,0.3333333333333333,0.7272727272727273,0.75,0.75,0.0,0.8235294117647058,0.7142857142857143,0.0
15,0.7692307692307693,0.75,0.8,0.0,0.4,0.0,0.7142857142857143,0.625,0.8235294117647058,0.0,0.875,0.8,0.0
16,0.6153846153846154,0.6,0.5,0.25,0.6666666666666666,0.8,0.8333333333333334,0.7142857142857143,0.8235294117647058,0.0,0.875,0.8,0.6666666666666666
17,0.6666666666666666,0.6153846153846154,0.3333333333333333,0.5,0.4,0.4444444444444444,0.7692307692307693,0.8,0.7142857142857143,0.0,0.6666666666666666,0.75,1.0
18,0.6666666666666666,0.7272727272727273,0.5454545454545454,0.25,0.5714285714285714,0.75,0.6153846153846154,0.7142857142857143,0.6666666666666666,0.0,0.8235294117647058,0.6666666666666666,0.0
19,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.0,0.8,0.75,0.8421052631578947,0.0,0.8,0.6153846153846154,0.4
